tablename,CreateTime,LastAccessTime,Owner,numRows,rawDataSize,V1,year,month,day,date,yearmon,rawDataSize_gb,rawDataSize_gb_month,rawDataSize_gb_month_user
aml,Tue Feb 21 14:30:55 CET 2017,UNKNOWN,c34618,11724992,151786551920,, 2017,Feb , 14,2017-02-14,2017.08333333333,151.78655192,1958.448207358,281.449833591
aml,Tue Feb 21 14:23:55 CET 2017,UNKNOWN,c34618,0,0,, 2017,Feb , 14,2017-02-14,2017.08333333333,0,1958.448207358,281.449833591
aml,Tue Feb 21 19:08:14 CET 2017,UNKNOWN,c34618,11724293,20180337428,, 2017,Feb , 19,2017-02-19,2017.08333333333,20.180337428,1958.448207358,281.449833591
aml,Tue Feb 21 19:03:35 CET 2017,UNKNOWN,c34618,0,0,, 2017,Feb , 19,2017-02-19,2017.08333333333,0,1958.448207358,281.449833591
aml,Thu Mar 02 18:40:45 CET 2017,UNKNOWN,c45873,95541,13009587,, 2017,Mar , 18,2017-03-18,2017.16666666667,0.013009587,16032.951134725,40.779282096
aml,Thu Mar 02 18:56:18 CET 2017,UNKNOWN,c45873,108427823,37196890793,, 2017,Mar , 18,2017-03-18,2017.16666666667,37.196890793,16032.951134725,40.779282096
aml,Thu Mar 02 18:58:28 CET 2017,UNKNOWN,c45873,12625258,3569381716,, 2017,Mar , 18,2017-03-18,2017.16666666667,3.569381716,16032.951134725,40.779282096
aml,Tue May 30 15:37:51 CEST 2017,UNKNOWN,c45873,5941534,2225198042,, 2017,May , 15,2017-05-15,2017.33333333333,2.225198042,7625.391561815,27.61580236
aml,Tue May 30 18:36:41 CEST 2017,UNKNOWN,c45873,,0,, 2017,May , 18,2017-05-18,2017.33333333333,0,7625.391561815,27.61580236
aml,Wed Mar 29 12:12:43 CEST 2017,UNKNOWN,c45873,,0,, 2017,Mar , 12,2017-03-12,2017.16666666667,0,16032.951134725,40.779282096
aml,Wed Mar 29 12:18:29 CEST 2017,UNKNOWN,c45873,,0,, 2017,Mar , 12,2017-03-12,2017.16666666667,0,16032.951134725,40.779282096
aml,Wed Mar 29 12:26:46 CEST 2017,UNKNOWN,c45873,,0,, 2017,Mar , 12,2017-03-12,2017.16666666667,0,16032.951134725,40.779282096
aml,Wed Mar 15 17:41:44 CET 2017,UNKNOWN,c45873,,0,, 2017,Mar , 17,2017-03-17,2017.16666666667,0,16032.951134725,40.779282096
aml,Wed Mar 15 17:39:25 CET 2017,UNKNOWN,c45873,,0,, 2017,Mar , 17,2017-03-17,2017.16666666667,0,16032.951134725,40.779282096
aml,Wed Mar 15 17:44:44 CET 2017,UNKNOWN,c45873,,0,, 2017,Mar , 17,2017-03-17,2017.16666666667,0,16032.951134725,40.779282096
aml,Tue Apr 04 18:20:27 CEST 2017,UNKNOWN,c45873,,0,, 2017,Apr , 18,2017-04-18,2017.25,0,5976.843447603,0
aml,Tue Apr 04 18:25:39 CEST 2017,UNKNOWN,c45873,,0,, 2017,Apr , 18,2017-04-18,2017.25,0,5976.843447603,0
aml,Fri Apr 07 15:14:50 CEST 2017,UNKNOWN,c45873,,0,, 2017,Apr , 15,2017-04-15,2017.25,0,5976.843447603,0
aml,Fri Apr 07 15:18:24 CEST 2017,UNKNOWN,c45873,,0,, 2017,Apr , 15,2017-04-15,2017.25,0,5976.843447603,0
